频率(Hz),基准PSD(m2/s4/Hz),强化后PSD(m2/s4/Hz)
0.0000,1.09329255e+02,6.19935022e-01
0.4883,6.05043474e+01,2.97638124e+00
0.9766,1.12323961e+01,1.11220563e+01
1.4648,6.19381301e+01,6.13186434e+01
1.9531,1.56074524e+02,1.54455464e+02
2.4414,2.53628729e+02,2.50667793e+02
2.9297,3.08301923e+02,3.04801118e+02
3.4180,5.39366703e+02,5.32740239e+02
3.9062,1.09714901e+03,1.08262864e+03
4.3945,1.76000117e+03,1.73754727e+03
4.8828,2.55084459e+03,2.51920442e+03
5.3711,3.19357328e+03,3.14734105e+03
5.8594,5.26587865e+03,5.18807826e+03
6.3477,9.56357660e+03,9.40815305e+03
6.8359,1.42682035e+04,1.40417619e+04
7.3242,1.02161624e+04,1.00520770e+04
7.8125,7.96202781e+03,7.82596511e+03
8.3008,1.41546724e+04,1.38551512e+04
8.7891,1.98107837e+04,1.93454971e+04
9.2773,2.36085551e+04,2.30318734e+04
9.7656,2.26736979e+04,2.20321291e+04
10.2539,2.05961587e+04,1.99081320e+04
10.7422,3.01415411e+04,2.90087420e+04
11.2305,4.85928626e+04,4.64433186e+04
11.7188,5.99726934e+04,5.70156706e+04
12.2070,5.66654946e+04,5.34286388e+04
12.6953,4.39616971e+04,4.06352919e+04
13.1836,5.72504533e+04,5.21362535e+04
13.6719,7.13963274e+04,6.39578228e+04
14.1602,6.89397833e+04,5.97156244e+04
14.6484,7.07803097e+04,5.94583164e+04
15.1367,7.54703853e+04,5.98113921e+04
15.6250,1.30866875e+05,9.28861195e+04
16.1133,3.22233921e+05,2.08340546e+05
16.6016,4.91084518e+05,2.80594007e+05
17.0898,7.49055465e+05,2.72972526e+05
17.5781,2.27245018e+06,4.04505282e+05
18.0664,7.97038922e+06,4.79841865e+05
18.5547,1.90197479e+07,5.82366156e+05
19.0430,7.69943763e+06,4.88699800e+05
19.5312,1.42743357e+06,2.98235947e+05
20.0195,4.21690322e+05,1.51505115e+05
20.5078,1.22274704e+05,6.63428222e+04
20.9961,7.14287210e+04,5.06289971e+04
21.4844,5.31924579e+04,4.13737243e+04
21.9727,3.15036790e+04,2.75393615e+04
22.4609,1.65847557e+04,1.58763696e+04
22.9492,1.69642101e+04,1.78646256e+04
23.4375,1.77753447e+04,2.02751783e+04
23.9258,1.24145583e+04,1.54046251e+04
24.4141,8.60752796e+03,1.22559362e+04
24.9023,6.35040905e+03,1.09286379e+04
25.3906,4.04166129e+03,9.51626606e+03
25.8789,3.05023204e+03,1.07376821e+04
26.3672,1.43274663e+03,8.98800932e+03
26.8555,4.07203571e+02,6.55457140e+03
27.3438,3.58223218e+02,5.41376010e+03
27.8320,8.11055214e+02,5.67166456e+03
28.3203,1.80547226e+03,5.74974300e+03
28.8086,2.27861887e+03,5.37143972e+03
29.2969,3.42083979e+03,5.51845933e+03
29.7852,5.05725422e+03,6.54068824e+03
30.2734,1.27322365e+04,1.37713693e+04
30.7617,1.61732909e+04,1.56040060e+04
31.2500,2.51602518e+04,2.10282840e+04
31.7383,4.33403834e+04,3.18147010e+04
32.2266,4.73257919e+04,2.86829381e+04
32.7148,9.23033691e+04,4.45751834e+04
33.2031,1.76226596e+05,6.62985459e+04
33.6914,1.87081852e+05,4.92766431e+04
34.1797,5.73435615e+05,5.39109900e+04
34.6680,2.51349073e+06,1.06266137e+05
35.1562,6.52824129e+06,1.61635817e+05
35.6445,4.26406533e+06,1.47650552e+05
36.1328,1.27434489e+06,1.22975662e+05
36.6211,6.74060628e+05,1.34016694e+05
37.1094,4.03490500e+05,1.25201796e+05
37.5977,2.78654008e+05,1.18115434e+05
38.0859,1.48821466e+05,7.15362628e+04
38.5742,7.37988627e+04,4.30419238e+04
39.0625,4.90519531e+04,3.26601486e+04
39.5508,3.68122256e+04,2.68987220e+04
40.0391,2.91333068e+04,2.22949352e+04
40.5273,2.81691336e+04,2.26664408e+04
41.0156,1.84621152e+04,1.56266378e+04
41.5039,1.21498500e+04,1.08064464e+04
41.9922,1.21646419e+04,1.12425883e+04
42.4805,9.99161401e+03,9.47108476e+03
42.9688,8.94636174e+03,8.79353787e+03
43.4570,9.41843446e+03,9.55562365e+03
43.9453,7.63889671e+03,8.05185266e+03
44.4336,7.19180956e+03,7.87329141e+03
44.9219,7.70546841e+03,8.78163111e+03
45.4102,5.70209834e+03,6.78574350e+03
45.8984,2.87473023e+03,3.66674618e+03
46.3867,1.99390853e+03,2.80672014e+03
46.8750,2.27919655e+03,3.51682123e+03
47.3633,1.66664085e+03,2.89718727e+03
