时间(s),冰力(N),位移(m),速度(m/s),加速度(m/s2),应力(Pa)
0.000000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.005000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.010000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.015000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.020000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.025000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.030000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.035000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.040000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.045000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.050000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.055000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.060000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.065000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.070000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.075000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.080000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.085000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.090000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.095000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.100000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.105000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.110000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.115000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.120000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.125000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.130000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.135000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.140000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.145000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.150000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.155000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.160000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.165000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.170000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.175000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.180000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.185000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.190000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.195000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.200000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.205000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.210000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.215000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.220000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.225000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.230000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.235000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.240000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.245000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.250000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.255000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.260000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
0.265000,0.00,0.00000000e+00,0.00000000e+00,0.000000,0.00
